genbank_accession,gisaid_epi_isl,Originating Lab,Submitting Lab,Author
,EPI_ISL_407193,Korea Centers for Disease Control & Prevention (KCDC) Center for Laboratory Control of Infectious Diseases Division of Viral Diseases,Korea Centers for Disease Control & Prevention (KCDC) Center for Laboratory Control of Infectious Diseases Division of Viral Diseases,Jeong-Min Kim et al C
,EPI_ISL_416885,National Public Health Laboratory,Malaysia Genome Institute,Mohd Noor Mat Isa et al
,EPI_ISL_455790,"Institute for Medical Research, Infectious Disease Research Centre, National Institutes of Health, Ministry of Health Malaysia",Malaysia Genome Institute,Mohd Noor Mat Isa et al
,EPI_ISL_447912,,"National Institute of Health. Department of medical Sciences, Ministry of Public Health, Thailand",Pilailuk et al A
,EPI_ISL_437615,,Faculty of Medicine,Rodpan et al
,EPI_ISL_447920,,"National Institute of Health. Department of medical Sciences, Ministry of Public Health, Thailand",Pilailuk et al A
,EPI_ISL_455912,Ramathibodi Hospital,COVID-19 Network Investigations (CONI) Alliance,Elizabeth Batty et al
,EPI_ISL_455605,Panyananthaphikkhu Chonprathan Medical Center,"National Institute of Health. Department of medical Sciences, Ministry of Public Health, Thailand",Pilailuk et al A
,EPI_ISL_455924,Ramathibodi Hospital,COVID-19 Network Investigations (CONI) Alliance,Elizabeth Batty et al
MN997409,EPI_ISL_406223,Arizona Department of Health Services,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Ying Tao et al A (https://dx.doi.org/10.1101/2020.03.09.20032896)
,EPI_ISL_447918,,"National Institute of Health. Department of medical Sciences, Ministry of Public Health, Thailand",Pilailuk et al A
MT106054,EPI_ISL_411956,Texas Department of State Health Services,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Krista Queen et al A
,EPI_ISL_437616,,Faculty of Medicine,Rodpan et al
,EPI_ISL_435137,Mohammed Bin Rashid University of Medicine and Health Sciences,Al Jalila Genomics Center,Ahmad Abou Tayoun et al (https://dx.doi.org/10.1101/2020.05.06.080606)
LC522973,EPI_ISL_408665,"Dept. of Virology III, National Institute of Infectious Diseases","Pathogen Genomics Center, National Institute of Infectious Diseases",Tsuyoshi Sekizuka et al A (https://dx.doi.org/10.2807/1560-7917.ES.2020.25.13.2000305)
LC522974,EPI_ISL_408666,"Dept. of Virology III, National Institute of Infectious Diseases","Pathogen Genomics Center, National Institute of Infectious Diseases",Tsuyoshi Sekizuka et al B
LC522975,EPI_ISL_408667,"Dept. of Virology III, National Institute of Infectious Diseases","Pathogen Genomics Center, National Institute of Infectious Diseases",Tsuyoshi Sekizuka et al B
,EPI_ISL_414600,Laboratoire de Virologie Institut de Virologie - INSERM U 1109 Hôpitaux Universitaires de Strasbourg,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Mélnie Albert et al (https://dx.doi.org/10.1101/2020.04.24.059576)
,EPI_ISL_416485,Servicio de Microbiologia. Consorcio Hospital General Universitario de Valencia,Sequencing and Bioinformatics Service and Molecular Epidemiology Research Group. FISABIO-Public Health,Griselda De Marco et al (https://dx.doi.org/10.1101/2020.04.20.050039)
,EPI_ISL_426967,Victorian Infectious Diseases Reference Laboratory (VIDRL),"Microbiological Diagnostic Unit Public Health Laboratory and Victorian Infectious Diseases Reference Laboratory, Doherty Institute",Caly L. et al (https://dx.doi.org/10.1101/2020.05.12.20099929)
,EPI_ISL_427052,Victorian Infectious Diseases Reference Laboratory (VIDRL),"Microbiological Diagnostic Unit Public Health Laboratory and Victorian Infectious Diseases Reference Laboratory, Doherty Institute",Caly L. et al (https://dx.doi.org/10.1101/2020.05.12.20099929)
,EPI_ISL_454572,National Center of Expertise,"National Center for Expertise, Kazakhstan National Center for Biotechnology, Kazakhstan",Abdaliyev Askar et al
,EPI_ISL_454571,National Center of Expertise,"National Center for Expertise, National Center for Biotechnology, Kazakhstan",Abdaliyev Askar et al
,EPI_ISL_452772,"Hospital Universitario Araba. Vitoria-Gasteiz,",SeqCOVID-SPAIN consortium/IBV(CSIC),Silvia Hernáez Crespo et al
,EPI_ISL_452692,"Hospital Universitario Araba. Vitoria-Gasteiz,",SeqCOVID-SPAIN consortium/IBV(CSIC),Silvia Hernáez Crespo et al
,EPI_ISL_436361,Servicio de Microbiología. Consorcio Hospital General Universitario de Valencia,Sequencing and Bioinformatics Service and Molecular Epidemiology Research Group. FISABIO-Public Health,Neris Garcia-Gonzalez et al
,EPI_ISL_418216,Institut Pasteur Dakar,Institut Pasteur de Dakar,Ndongo Dia et al
,EPI_ISL_426362,Instituto Nacional de Ciencias Medicas y Nutricion Salvador Zubiran,Instituto Nacional de Ciencias Medicas y Nutricion Salvador Zubiran,Guillermo M. Ruiz-Palacios et al (https://dx.doi.org/10.1101/2020.05.27.120402)
,EPI_ISL_416477,"R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.","R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.",Marine Murtskhvaladze et al
,EPI_ISL_437495,Pathogen Genomics Lab King Abdullah University of Science and Technology(KAUST),Pathogen Genomics Lab King Abdullah University of Science and Technology(KAUST),Sara Mfarrej et al
,EPI_ISL_416415,Victorian Infectious Diseases Reference Laboratory (VIDRL),"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute",Caly L. et al (https://dx.doi.org/10.1101/2020.05.12.20099929)
,EPI_ISL_407896,Pathology Queensland,Public Health Virology Laboratory,Ben Huang et al
,EPI_ISL_455422,Nigeria Centre for Disease Control,"African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer's University, Ede, Osun State, Nigeria",Oluniyi P.E. et al A (https://virological.org/t/sars-cov-2-genomes-from-nigeria-reveal-community-transmission-multiple-virus-lineages-and-spike-protein-mutation-associated-with-higher-transmission-and-pathogenicity/494)
,EPI_ISL_424907,VA-Division of Consolidated Laboratory Services,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Ying Tao et al B
,EPI_ISL_419713,Virginia DCLS,Virginia DCLS,Virginia DCLS et al
,EPI_ISL_454531,NIV Influenza,NIV Influenza,Potdar V et al B
,EPI_ISL_454536,NIV Influenza,NIV Influenza,Potdar V et al B
,EPI_ISL_455424,Nigeria Centre for Disease Control (NCDC),"African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer's University, Ede, Osun State, Nigeria",Oluniyi P.E. et al A (https://virological.org/t/sars-cov-2-genomes-from-nigeria-reveal-community-transmission-multiple-virus-lineages-and-spike-protein-mutation-associated-with-higher-transmission-and-pathogenicity/494)
,EPI_ISL_420077,Institut Pasteur Dakar,Institut Pasteur de Dakar,Ndongo Dia et al
,EPI_ISL_454764,Dutch COVID-19 response team,National Institute for Public Health and the Environment (RIVM),Adam Meijer et al
,EPI_ISL_417201,University of Wisconsin-Madison AIDS Vaccine Research Laboratories,University of Wisconsin-Madison AIDS Vaccine Research Laboratories,Gage Moreno et al (https://www.medrxiv.org/content/10.1101/2020.07.09.20149104v1)
,EPI_ISL_422397,"NMIMR, Department of Virology","WACCBIP, University of Ghana",Joyce M. Ngoi et al
,EPI_ISL_422403,"NMIMR, Department of Virology","WACCBIP, University of Ghana",Joyce M. Ngoi et al
,EPI_ISL_422387,"NMIMR, Department of Virology","WACCBIP, University of Ghana",Joyce M. Ngoi et al
,EPI_ISL_407894,Pathology Queensland,Public Health Virology Laboratory,Ben Huang et al
,EPI_ISL_457991,Oman-NIC,Oman-NIC,Samira Al-Maruqi et al
,EPI_ISL_457976,Oman-NIC,Oman-NIC,Samira Al-Maruqi et al
,EPI_ISL_451194,Uganda Virus Research Institute,MRC/UVRI & LSHTM Uganda Research Unit,Dan Lule Bugembe et al (https://dx.doi.org/10.3201/eid2610.202575)
,EPI_ISL_450773,"Minnesota Department of Health, Public Health Laboratory","Minnesota Department of Health, Public Health Laboratory",Matt Plumb et al
,EPI_ISL_451183,Uganda Virus Research Institute,MRC/UVRI & LSHTM Uganda Research Unit,Dan Lule Bugembe et al (https://dx.doi.org/10.3201/eid2610.202575)
,EPI_ISL_451184,Uganda Virus Research Institute,MRC/UVRI & LSHTM Uganda Research Unit,Dan Lule Bugembe et al (https://dx.doi.org/10.3201/eid2610.202575)
MN988713,EPI_ISL_404253,IL Department of Public Health Chicago Laboratory,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Ying Tao et al A (https://dx.doi.org/10.1101/2020.03.09.20032896)
,EPI_ISL_450317,Hôpital Pierre-Boucher,Laboratoire de santé publique du Québec,Sandrine Moreira et al
,EPI_ISL_429998,Biolab Diagnostic Laboratories,Andersen lab at Scripps Research,Issa Abu-Dayyeh et al
,EPI_ISL_456117,Instituto Nacional de Salud - Unidad de Secuenciación y Análisis Genómico,"Instituto Nacional de Salud, Universidad Cooperativa de Colombia, Instituto Alexander von Humboldt, Imperial College-London, London School of Hygiene & Tropical Medicine",Katherine Laiton-Donato et al (https://dx.doi.org/10.1101/2020.06.02.20120782)
,EPI_ISL_444493,"Departamento de Laboratorios de Salud Publica (DLSP, Division Epidemiologia, Ministerio de Salud Publica)","Facultad de Ciencias (Sección Genética Evolutiva, Sección Virología).",Panzera et al
,EPI_ISL_426481,"Microbial Genomics Laboratory, Institut Pasteur Montevideo, Uruguay","Microbial Genomics Laboratory, Institut Pasteur Montevideo",Cecilia Salazar et al (https://dx.doi.org/10.1101/2020.05.09.086223)
,EPI_ISL_426584,"Microbial Genomics Laboratory, Institut Pasteur Montevideo, Uruguay","Microbial Genomics Laboratory, Institut Pasteur Montevideo, Uruguay",Cecilia Salazar et al (https://dx.doi.org/10.1101/2020.05.09.086223)
,EPI_ISL_426479,"Microbial Genomics Laboratory, Institut Pasteur Montevideo","Microbial Genomics Laboratory, Institut Pasteur Montevideo",Cecilia Salazar et al (https://dx.doi.org/10.1101/2020.05.09.086223)
,EPI_ISL_414378,National Centre for Infectious Diseases,"Programme in Emerging Infectious Diseases, Duke-NUS Medical School",Danielle E Anderson et al A (https://dx.doi.org/doi/10.1101/2020.03.11.987222)
,EPI_ISL_418995,"National Public Health Laboratory, National Centre for Infectious Diseases","National Public Health Laboratory, National Centre for Infectious Diseases",Mak TM et al
,EPI_ISL_418996,"National Public Health Laboratory, National Centre for Infectious Diseases","National Public Health Laboratory, National Centre for Infectious Diseases",Mak TM et al
,EPI_ISL_407976,"KU Leuven, Clinical and Epidemiological Virology","KU Leuven, Clinical and Epidemiological Virology",Bert Vanmechelen et al (https://dx.doi.org/10.1101/2020.05.05.078758)
,EPI_ISL_414379,National Centre for Infectious Diseases,"Programme in Emerging Infectious Diseases, Duke-NUS Medical School",Danielle E Anderson et al A (https://dx.doi.org/doi/10.1101/2020.03.11.987222)
,EPI_ISL_418997,"National Public Health Laboratory, National Centre for Infectious Diseases","National Public Health Laboratory, National Centre for Infectious Diseases",Mak TM et al
,EPI_ISL_414380,National Centre for Infectious Diseases,"Programme in Emerging Infectious Diseases, Duke-NUS Medical School",Danielle E Anderson et al A (https://dx.doi.org/doi/10.1101/2020.03.11.987222)
,EPI_ISL_418998,"National Public Health Laboratory, National Centre for Infectious Diseases","National Public Health Laboratory, National Centre for Infectious Diseases",Mak TM et al
,EPI_ISL_428822,"National Public Health Laboratory, National Centre for Infectious Diseases","National Public Health Laboratory, National Centre for Infectious Diseases",Mak TM et al
,EPI_ISL_420107,National Centre for Infectious Diseases,"Programme in Emerging Infectious Diseases, Duke-NUS Medical School",Danielle E Anderson et al B
,EPI_ISL_426478,"Microbial Genomics Laboratory, Institut Pasteur Montevideo","Microbial Genomics Laboratory, Institut Pasteur Montevideo, Uruguay",Cecilia Salazar et al (https://dx.doi.org/10.1101/2020.05.09.086223)
,EPI_ISL_418999,"National Public Health Laboratory, National Centre for Infectious Diseases","National Public Health Laboratory, National Centre for Infectious Diseases",Mak TM et al
,EPI_ISL_419001,"National Public Health Laboratory, National Centre for Infectious Diseases","National Public Health Laboratory, National Centre for Infectious Diseases",Mak TM et al
,EPI_ISL_420099,National Centre for Infectious Diseases,"Programme in Emerging Infectious Diseases, Duke-NUS Medical School",Danielle E Anderson et al B
,EPI_ISL_416429,"National Influenza Center, National Institute of Hygiene and Epidemiology (NIHE)","National Influenza Center, National Institute of Hygiene and Epidemiology (NIHE)",Le Quynh Mai et al
,EPI_ISL_408668,National Influenza Center - National Institute of Hygiene and Epidemiology (NIHE),National Influenza Center - National Institute of Hygiene and Epidemiology (NIHE),Ung Thi Hong Trang et al
MN994467,EPI_ISL_406034,California Department of Public Health,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Anna Uehara et al A (https://dx.doi.org/10.1101/2020.03.09.20032896)
MT044257,EPI_ISL_410045,IL Department of Public Health Chicago Laboratory,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Yan Li et al A (https://dx.doi.org/10.1101/2020.03.09.20032896)
,EPI_ISL_457756,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_424854,FL Bureau of Public Health Laboratories-Miami,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Yan Li et al B
,EPI_ISL_452131,IN State Department of Health Laboratory Services,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Jing Zhang et al A
,EPI_ISL_444555,Northwestern Memorial Hospital,Ozer Lab,Ramon Lorenzo-Redondo et al (https://dx.doi.org/10.1101/2020.05.19.20107144)
,EPI_ISL_424904,SC Dept of Health and Env. Control-Bureau of Laboratories,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Ying Tao et al B
,EPI_ISL_424841,SC Dept of Health and Env. Control-Bureau of Laboratories,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Yan Li et al B
,EPI_ISL_434677,Lednicky Laboratory at Emerging Pathogens Institute,Lednicky Laboratory at Emerging Pathogens Institute,Shankar et al
,EPI_ISL_420788,GA Department of Public Health,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Krista Queen et al A
,EPI_ISL_424859,GA Department of Public Health Laboratory,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Yan Li et al B
,EPI_ISL_424888,SC Dept of Health and Env. Control-Bureau of Laboratories,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Yan Li et al B
,EPI_ISL_420786,GA Department of Public Health,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Krista Queen et al A
,EPI_ISL_427190,UW Virology Lab,UW Virology Lab,Pavitra Roychoudhury et al A
,EPI_ISL_427288,The Ohio State University,The Ohio State University-James Molecular Lab at Polaris,Huolin Tu et al
,EPI_ISL_457789,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_457768,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_457773,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_438241,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_457767,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_457783,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_429971,Virginia DCLS,Virginia DCLS,Virginia DCLS et al
,EPI_ISL_434686,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_457782,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_429970,Virginia DCLS,Virginia DCLS,Virginia DCLS et al
,EPI_ISL_457813,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_438234,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_438246,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_445084,Baylor College of Medicine,Baylor College of Medicine: HGSC,Vasanthi Avadhanula et al
,EPI_ISL_457807,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_457762,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_434932,Houston Methodist Hospital,Houston Methodist Hospital,S. Wesley Long et al (https://dx.doi.org/10.1101/2020.05.01.072652)
MN985325,EPI_ISL_404895,Providence Regional Medical Center,"Division of Viral Diseases, Centers for Disease Control and Prevention",Queen et al (https://dx.doi.org/10.1101/2020.03.02.972935)
,EPI_ISL_418993,"National Public Health Laboratory, National Centre for Infectious Diseases","National Public Health Laboratory, National Centre for Infectious Diseases",Mak TM et al
,EPI_ISL_428448,Guangdong Provincial Center for Diseases Control and Prevention;Guangdong Provincial Institute of Public Health,"School of Public Health, The University of Hong Kong",Bosheng Li et al
,EPI_ISL_416886,National Public Health Laboratory,Malaysia Genome Institute,Mohd Noor Mat Isa et al
MT020880,EPI_ISL_407214,WA State Department of Health,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Krista Queen et al A
,EPI_ISL_419560,FL Bureau of Public Health Laboratories-Tampa,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Anna Uehara et al B
,EPI_ISL_430144,Seattle Flu Study,Seattle Flu Study,Chu et al et al A
,EPI_ISL_444522,Northwestern Memorial Hospital,Ozer Lab,Ramon Lorenzo-Redondo et al (https://dx.doi.org/10.1101/2020.05.19.20107144)
,EPI_ISL_418843,BCCDC Public Health Laboratory,BCCDC Public Health Laboratory,Harrigan et al A
,EPI_ISL_430281,Washington State Department of Health,Seattle Flu Study,Chu et al et al A
,EPI_ISL_430181,Washington State Department of Health,Seattle Flu Study,Chu et al et al A
,EPI_ISL_417147,Washington State Department of Health,Seattle Flu Study,Chu etl al et al (https://doi.dx.org/10.1101/2020.04.02.20051417)
,EPI_ISL_430188,Washington State Department of Health,Seattle Flu Study,Chu et al et al A
,EPI_ISL_430203,Washington State Department of Health,Seattle Flu Study,Chu et al et al A
,EPI_ISL_429063,UCSF Clinical Microbiology Laboratory,Chan-Zuckerberg Biohub,CZB Cliahub Consortium et al
,EPI_ISL_417134,Washington State Department of Health,Seattle Flu Study,Chu etl al et al (https://doi.dx.org/10.1101/2020.04.02.20051417)
,EPI_ISL_430196,Washington State Department of Health,Seattle Flu Study,Chu et al et al A
,EPI_ISL_417094,Washington State Department of Health,Seattle Flu Study,Chu etl al et al (https://doi.dx.org/10.1101/2020.04.02.20051417)
,EPI_ISL_417166,Washington State Department of Health,Seattle Flu Study,Chu etl al et al (https://doi.dx.org/10.1101/2020.04.02.20051417)
,EPI_ISL_417172,Washington State Department of Health,Seattle Flu Study,Chu etl al et al (https://doi.dx.org/10.1101/2020.04.02.20051417)
,EPI_ISL_430295,Washington State Department of Health,Seattle Flu Study,Chu et al et al A
,EPI_ISL_416463,Seattle Flu Study,Seattle Flu Study,Chu et al et al B (https://doi.dx.org/10.1101/2020.04.02.20051417)
,EPI_ISL_424231,UW Virology Lab,UW Virology Lab,Pavitra Roychoudhury et al A
,EPI_ISL_414595,UW Virology Lab,UW Virology Lab,Pavitra Roychoudhury et al B (https://doi.dx.org/10.1101/2020.04.02.20051417)
,EPI_ISL_421272,Wyoming Public Health Laboratory,"Center for Global Health, University of New Mexico Health Sciences Center",Daryl Domman et al
,EPI_ISL_421548,Wyoming Public Health Laboratory,"Center for Global Health, University of New Mexico Health Sciences Center",Daryl Domman et al
,EPI_ISL_429069,UCSF Clinical Microbiology Laboratory,Chan-Zuckerberg Biohub,CZB Cliahub Consortium et al
,EPI_ISL_429060,UCSF Clinical Microbiology Laboratory,Chan-Zuckerberg Biohub,CZB Cliahub Consortium et al
,EPI_ISL_455432,Instituto de Diagnostico y Referencia Epidemiologicos (INDRE),Instituto de Diagnostico y Referencia Epidemiologicos (INDRE),Taboada Ramírez Blanca. Ramirez-Gonzalez Ernesto et al
,EPI_ISL_424856,FL Bur. of Public Health Laboratories-Jacksonville,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Yan Li et al B
,EPI_ISL_417150,Washington State Department of Health,Seattle Flu Study,Chu etl al et al (https://doi.dx.org/10.1101/2020.04.02.20051417)
,EPI_ISL_417083,Washington State Department of Health,Seattle Flu Study,Chu etl al et al (https://doi.dx.org/10.1101/2020.04.02.20051417)
,EPI_ISL_417148,Washington State Department of Health,Seattle Flu Study,Chu etl al et al (https://doi.dx.org/10.1101/2020.04.02.20051417)
,EPI_ISL_426513,"AZ SPHL, Arizona Department of Health Services",TGen North,Jolene Bowers et al (https://dx.doi.org/10.1101/2020.05.08.20095935)
,EPI_ISL_417142,Washington State Department of Health,Seattle Flu Study,Chu etl al et al (https://doi.dx.org/10.1101/2020.04.02.20051417)
,EPI_ISL_424286,UW Virology Lab,UW Virology Lab,Pavitra Roychoudhury et al A
,EPI_ISL_416421,Yale Clinical Virology Laboratory,Grubaugh Lab - Yale School of Public Health,Joseph Fauver et al A (https://dx.doi.org/10.1016/j.cell.2020.04.021)
,EPI_ISL_444637,NYU Langone Health,"Departments of Pathology and Medicine, New York University School of Medicine",Maria Aguero-Rosenfeld et al A
,EPI_ISL_417203,University of Wisconsin-Madison AIDS Vaccine Research Laboratories,University of Wisconsin-Madison AIDS Vaccine Research Laboratories,Gage Moreno et al (https://www.medrxiv.org/content/10.1101/2020.07.09.20149104v1)
,EPI_ISL_452123,VI-US Virgin Islands Department of Health,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Jing Zhang et al A
,EPI_ISL_416462,Seattle Flu Study,Seattle Flu Study,Chu et al et al B (https://doi.dx.org/10.1101/2020.04.02.20051417)
